symboling,make,fuel-type,aspiration,body-style,drive-wheels,engine-location,wheel-base,length,width,h8,engine-type,num-of-cylinders,engine-size,fuel-system,compression-ratio,city-mpg,highway-mpg,price
3,alfa-romero,gas,std,convertible,rwd,front,88.6,168.8,64.1,48.8,dohc,4,130,mpfi,9,21,27,16500
1,alfa-romero,gas,std,hatchback,rwd,front,94.5,171.2,65.5,52.4,ohcv,6,152,mpfi,9,19,26,16500
2,audi,gas,std,sedan,fwd,front,99.8,176.6,66.2,54.3,ohc,4,109,mpfi,10,24,30,13950
2,audi,gas,std,sedan,4wd,front,99.4,176.6,66.4,54.3,ohc,5,136,mpfi,8,18,22,17450
2,audi,gas,std,sedan,fwd,front,99.8,177.3,66.3,53.1,ohc,5,136,mpfi,8.5,19,25,15250
1,audi,gas,std,sedan,fwd,front,105.8,192.7,71.4,55.7,ohc,5,136,mpfi,8.5,19,25,17710
1,audi,gas,std,wagon,fwd,front,105.8,192.7,71.4,55.7,ohc,5,136,mpfi,8.5,19,25,18920
1,audi,gas,turbo,sedan,fwd,front,105.8,192.7,71.4,55.9,ohc,5,131,mpfi,8.3,17,20,23875
2,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,4,108,mpfi,8.8,23,29,16430
0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,4,108,mpfi,8.8,23,29,16925
0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,6,164,mpfi,9,21,28,20970
0,bmw,gas,std,sedan,rwd,front,101.2,176.8,64.8,54.3,ohc,6,164,mpfi,9,21,28,21105
1,bmw,gas,std,sedan,rwd,front,103.5,189,66.9,55.7,ohc,6,164,mpfi,9,20,25,24565
0,bmw,gas,std,sedan,rwd,front,103.5,189,66.9,55.7,ohc,6,209,mpfi,8,16,22,30760
0,bmw,gas,std,sedan,rwd,front,103.5,193.8,67.9,53.7,ohc,6,209,mpfi,8,16,22,41315
0,bmw,gas,std,sedan,rwd,front,110,197,70.9,56.3,ohc,6,209,mpfi,8,15,20,36880
2,chevrolet,gas,std,hatchback,fwd,front,88.4,141.1,60.3,53.2,l,3,61,2bbl,9.5,47,53,5151
1,chevrolet,gas,std,hatchback,fwd,front,94.5,155.9,63.6,52,ohc,4,90,2bbl,9.6,38,43,6295
0,chevrolet,gas,std,sedan,fwd,front,94.5,158.8,63.6,52,ohc,4,90,2bbl,9.6,38,43,6575
1,dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,4,90,2bbl,9.41,37,41,5572
1,dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,4,90,2bbl,9.4,31,38,6377
1,dodge,gas,turbo,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,4,98,mpfi,7.6,24,30,7957
1,dodge,gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.6,ohc,4,90,2bbl,9.4,31,38,6229
1,dodge,gas,std,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,4,90,2bbl,9.4,31,38,6692
1,dodge,gas,std,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,4,90,2bbl,9.4,31,38,7609
1,dodge,gas,turbo,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,4,98,mpfi,7.6,24,30,8558
-1,dodge,gas,std,wagon,fwd,front,103.3,174.6,64.6,59.8,ohc,4,122,2bbl,8.5,24,30,8921
3,dodge,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,4,156,mfi,7,19,24,12964
2,honda,gas,std,hatchback,fwd,front,86.6,144.6,63.9,50.8,ohc,4,92,1bbl,9.6,49,54,6479
2,honda,gas,std,hatchback,fwd,front,86.6,144.6,63.9,50.8,ohc,4,92,1bbl,9.2,31,38,6855
1,honda,gas,std,hatchback,fwd,front,93.7,150,64,52.6,ohc,4,79,1bbl,10.1,38,42,5399
1,honda,gas,std,hatchback,fwd,front,93.7,150,64,52.6,ohc,4,92,1bbl,9.2,30,34,6529
1,honda,gas,std,hatchback,fwd,front,93.7,150,64,52.6,ohc,4,92,1bbl,9.2,30,34,7129
0,honda,gas,std,sedan,fwd,front,96.5,163.4,64,54.5,ohc,4,92,1bbl,9.2,30,34,7295
0,honda,gas,std,wagon,fwd,front,96.5,157.1,63.9,58.3,ohc,4,92,1bbl,9.2,30,34,7295
0,honda,gas,std,hatchback,fwd,front,96.5,167.5,65.2,53.3,ohc,4,110,1bbl,9,27,33,7895
0,honda,gas,std,hatchback,fwd,front,96.5,167.5,65.2,53.3,ohc,4,110,1bbl,9,27,33,9095
0,honda,gas,std,sedan,fwd,front,96.5,175.4,65.2,54.1,ohc,4,110,1bbl,9,27,33,8845
0,honda,gas,std,sedan,fwd,front,96.5,175.4,62.5,54.1,ohc,4,110,1bbl,9,27,33,10295
0,honda,gas,std,sedan,fwd,front,96.5,175.4,65.2,54.1,ohc,4,110,mpfi,9,24,28,12945
1,honda,gas,std,sedan,fwd,front,96.5,169.1,66,51,ohc,4,110,2bbl,9.1,25,31,10345
0,isuzu,gas,std,sedan,rwd,front,94.3,170.7,61.8,53.5,ohc,4,111,2bbl,8.5,24,29,6785
2,isuzu,gas,std,hatchback,rwd,front,96,172.6,65.2,51.4,ohc,4,119,spfi,9.2,24,29,11048
0,jaguar,gas,std,sedan,rwd,front,113,199.6,69.6,52.8,dohc,6,258,mpfi,8.1,15,19,32250
0,jaguar,gas,std,sedan,rwd,front,113,199.6,69.6,52.8,dohc,6,258,mpfi,8.1,15,19,35550
0,jaguar,gas,std,sedan,rwd,front,102,191.7,70.6,47.8,ohcv,12,326,mpfi,11.5,13,17,36000
1,mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,4,91,2bbl,9,30,31,5195
1,mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,4,91,2bbl,9,31,38,6095
1,mazda,gas,std,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,4,91,2bbl,9,31,38,6795
1,mazda,gas,std,sedan,fwd,front,93.1,166.8,64.2,54.1,ohc,4,91,2bbl,9,31,38,6695
1,mazda,gas,std,sedan,fwd,front,93.1,166.8,64.2,54.1,ohc,4,91,2bbl,9,31,38,7395
3,mazda,gas,std,hatchback,rwd,front,95.3,169,65.7,49.6,rotor,2,70,4bbl,9.4,17,23,10945
3,mazda,gas,std,hatchback,rwd,front,95.3,169,65.7,49.6,rotor,2,70,4bbl,9.4,17,23,11845
3,mazda,gas,std,hatchback,rwd,front,95.3,169,65.7,49.6,rotor,2,70,4bbl,9.4,17,23,13645
3,mazda,gas,std,hatchback,rwd,front,95.3,169,65.7,49.6,rotor,2,80,mpfi,9.4,16,23,15645
1,mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,53.7,ohc,4,122,2bbl,8.6,26,32,8845
0,mazda,gas,std,sedan,fwd,front,98.8,177.8,66.5,55.5,ohc,4,122,2bbl,8.6,26,32,8495
1,mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,53.7,ohc,4,122,2bbl,8.6,26,32,10595
0,mazda,gas,std,sedan,fwd,front,98.8,177.8,66.5,55.5,ohc,4,122,2bbl,8.6,26,32,10245
0,mazda,diesel,std,sedan,fwd,front,98.8,177.8,66.5,55.5,ohc,4,122,idi,22.7,36,42,10795
0,mazda,gas,std,hatchback,fwd,front,98.8,177.8,66.5,55.5,ohc,4,122,2bbl,8.6,26,32,11245
0,mazda,gas,std,sedan,rwd,front,104.9,175,66.1,54.4,ohc,4,140,mpfi,8,19,27,18280
0,mazda,diesel,std,sedan,rwd,front,104.9,175,66.1,54.4,ohc,4,134,idi,22,31,39,18344
-1,mercedes-benz,diesel,turbo,sedan,rwd,front,110,190.9,70.3,56.5,ohc,5,183,idi,21.5,22,25,25552
-1,mercedes-benz,diesel,turbo,wagon,rwd,front,110,190.9,70.3,58.7,ohc,5,183,idi,21.5,22,25,28248
0,mercedes-benz,diesel,turbo,hardtop,rwd,front,106.7,187.5,70.3,54.9,ohc,5,183,idi,21.5,22,25,28176
-1,mercedes-benz,diesel,turbo,sedan,rwd,front,115.6,202.6,71.7,56.3,ohc,5,183,idi,21.5,22,25,31600
-1,mercedes-benz,gas,std,sedan,rwd,front,115.6,202.6,71.7,56.5,ohcv,8,234,mpfi,8.3,16,18,34184
3,mercedes-benz,gas,std,convertible,rwd,front,96.6,180.3,70.5,50.8,ohcv,8,234,mpfi,8.3,16,18,35056
0,mercedes-benz,gas,std,sedan,rwd,front,120.9,208.1,71.7,56.7,ohcv,8,308,mpfi,8,14,16,40960
1,mercedes-benz,gas,std,hardtop,rwd,front,112,199.2,72,55.4,ohcv,8,304,mpfi,8,14,16,45400
1,mercury,gas,turbo,hatchback,rwd,front,102.7,178.4,68,54.8,ohc,4,140,mpfi,8,19,24,16503
2,mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,4,92,2bbl,9.4,37,41,5389
2,mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,4,92,2bbl,9.4,31,38,6189
